,flag,img,lg,symlg
38,train,/train/CROHME/IMG_rendering/101_herbert.png,/train/CROHME/LG/CROHME2019_train/101_herbert.lg,/train/CROHME/SymLG/CROHME2019_train/101_herbert.lg
39,train,/train/CROHME/IMG_rendering/101_hirata.png,/train/CROHME/LG/CROHME2019_train/101_hirata.lg,/train/CROHME/SymLG/CROHME2019_train/101_hirata.lg
40,train,/train/CROHME/IMG_rendering/101_jorge.png,/train/CROHME/LG/CROHME2019_train/101_jorge.lg,/train/CROHME/SymLG/CROHME2019_train/101_jorge.lg
41,train,/train/CROHME/IMG_rendering/101_leissi.png,/train/CROHME/LG/CROHME2019_train/101_leissi.lg,/train/CROHME/SymLG/CROHME2019_train/101_leissi.lg
42,train,/train/CROHME/IMG_rendering/101_leo.png,/train/CROHME/LG/CROHME2019_train/101_leo.lg,/train/CROHME/SymLG/CROHME2019_train/101_leo.lg
43,train,/train/CROHME/IMG_rendering/101_miguel.png,/train/CROHME/LG/CROHME2019_train/101_miguel.lg,/train/CROHME/SymLG/CROHME2019_train/101_miguel.lg
44,train,/train/CROHME/IMG_rendering/101_mijail.png,/train/CROHME/LG/CROHME2019_train/101_mijail.lg,/train/CROHME/SymLG/CROHME2019_train/101_mijail.lg
45,train,/train/CROHME/IMG_rendering/101_rosario.png,/train/CROHME/LG/CROHME2019_train/101_rosario.lg,/train/CROHME/SymLG/CROHME2019_train/101_rosario.lg
46,train,/train/CROHME/IMG_rendering/101_user0.png,/train/CROHME/LG/CROHME2019_train/101_user0.lg,/train/CROHME/SymLG/CROHME2019_train/101_user0.lg
47,train,/train/CROHME/IMG_rendering/103_em_0.png,/train/CROHME/LG/CROHME2019_train/103_em_0.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_0.lg
48,train,/train/CROHME/IMG_rendering/103_em_1.png,/train/CROHME/LG/CROHME2019_train/103_em_1.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_1.lg
49,train,/train/CROHME/IMG_rendering/103_em_10.png,/train/CROHME/LG/CROHME2019_train/103_em_10.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_10.lg
50,train,/train/CROHME/IMG_rendering/103_em_11.png,/train/CROHME/LG/CROHME2019_train/103_em_11.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_11.lg
51,train,/train/CROHME/IMG_rendering/103_em_12.png,/train/CROHME/LG/CROHME2019_train/103_em_12.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_12.lg
52,train,/train/CROHME/IMG_rendering/103_em_13.png,/train/CROHME/LG/CROHME2019_train/103_em_13.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_13.lg
53,train,/train/CROHME/IMG_rendering/103_em_14.png,/train/CROHME/LG/CROHME2019_train/103_em_14.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_14.lg
54,train,/train/CROHME/IMG_rendering/103_em_15.png,/train/CROHME/LG/CROHME2019_train/103_em_15.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_15.lg
55,train,/train/CROHME/IMG_rendering/103_em_16.png,/train/CROHME/LG/CROHME2019_train/103_em_16.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_16.lg
56,train,/train/CROHME/IMG_rendering/103_em_17.png,/train/CROHME/LG/CROHME2019_train/103_em_17.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_17.lg
57,train,/train/CROHME/IMG_rendering/103_em_18.png,/train/CROHME/LG/CROHME2019_train/103_em_18.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_18.lg
58,train,/train/CROHME/IMG_rendering/103_em_19.png,/train/CROHME/LG/CROHME2019_train/103_em_19.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_19.lg
59,train,/train/CROHME/IMG_rendering/103_em_2.png,/train/CROHME/LG/CROHME2019_train/103_em_2.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_2.lg
60,train,/train/CROHME/IMG_rendering/103_em_20.png,/train/CROHME/LG/CROHME2019_train/103_em_20.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_20.lg
61,train,/train/CROHME/IMG_rendering/103_em_21.png,/train/CROHME/LG/CROHME2019_train/103_em_21.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_21.lg
62,train,/train/CROHME/IMG_rendering/103_em_22.png,/train/CROHME/LG/CROHME2019_train/103_em_22.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_22.lg
63,train,/train/CROHME/IMG_rendering/103_em_23.png,/train/CROHME/LG/CROHME2019_train/103_em_23.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_23.lg
64,train,/train/CROHME/IMG_rendering/103_em_24.png,/train/CROHME/LG/CROHME2019_train/103_em_24.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_24.lg
65,train,/train/CROHME/IMG_rendering/103_em_25.png,/train/CROHME/LG/CROHME2019_train/103_em_25.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_25.lg
66,train,/train/CROHME/IMG_rendering/103_em_26.png,/train/CROHME/LG/CROHME2019_train/103_em_26.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_26.lg
67,train,/train/CROHME/IMG_rendering/103_em_27.png,/train/CROHME/LG/CROHME2019_train/103_em_27.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_27.lg
68,train,/train/CROHME/IMG_rendering/103_em_28.png,/train/CROHME/LG/CROHME2019_train/103_em_28.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_28.lg
69,train,/train/CROHME/IMG_rendering/103_em_29.png,/train/CROHME/LG/CROHME2019_train/103_em_29.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_29.lg
70,train,/train/CROHME/IMG_rendering/103_em_3.png,/train/CROHME/LG/CROHME2019_train/103_em_3.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_3.lg
71,train,/train/CROHME/IMG_rendering/103_em_5.png,/train/CROHME/LG/CROHME2019_train/103_em_5.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_5.lg
72,train,/train/CROHME/IMG_rendering/103_em_7.png,/train/CROHME/LG/CROHME2019_train/103_em_7.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_7.lg
73,train,/train/CROHME/IMG_rendering/103_em_8.png,/train/CROHME/LG/CROHME2019_train/103_em_8.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_8.lg
74,train,/train/CROHME/IMG_rendering/103_em_9.png,/train/CROHME/LG/CROHME2019_train/103_em_9.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_9.lg
75,train,/train/CROHME/IMG_rendering/104_em_30.png,/train/CROHME/LG/CROHME2019_train/104_em_30.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_30.lg
76,train,/train/CROHME/IMG_rendering/104_em_31.png,/train/CROHME/LG/CROHME2019_train/104_em_31.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_31.lg
77,train,/train/CROHME/IMG_rendering/104_em_32.png,/train/CROHME/LG/CROHME2019_train/104_em_32.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_32.lg
78,train,/train/CROHME/IMG_rendering/104_em_33.png,/train/CROHME/LG/CROHME2019_train/104_em_33.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_33.lg
79,train,/train/CROHME/IMG_rendering/104_em_34.png,/train/CROHME/LG/CROHME2019_train/104_em_34.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_34.lg
80,train,/train/CROHME/IMG_rendering/104_em_35.png,/train/CROHME/LG/CROHME2019_train/104_em_35.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_35.lg
81,train,/train/CROHME/IMG_rendering/104_em_36.png,/train/CROHME/LG/CROHME2019_train/104_em_36.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_36.lg
82,train,/train/CROHME/IMG_rendering/104_em_37.png,/train/CROHME/LG/CROHME2019_train/104_em_37.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_37.lg
83,train,/train/CROHME/IMG_rendering/104_em_38.png,/train/CROHME/LG/CROHME2019_train/104_em_38.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_38.lg
84,train,/train/CROHME/IMG_rendering/104_em_39.png,/train/CROHME/LG/CROHME2019_train/104_em_39.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_39.lg
85,train,/train/CROHME/IMG_rendering/104_em_40.png,/train/CROHME/LG/CROHME2019_train/104_em_40.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_40.lg
86,train,/train/CROHME/IMG_rendering/104_em_42.png,/train/CROHME/LG/CROHME2019_train/104_em_42.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_42.lg
87,train,/train/CROHME/IMG_rendering/104_em_43.png,/train/CROHME/LG/CROHME2019_train/104_em_43.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_43.lg
88,train,/train/CROHME/IMG_rendering/104_em_44.png,/train/CROHME/LG/CROHME2019_train/104_em_44.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_44.lg
89,train,/train/CROHME/IMG_rendering/104_em_45.png,/train/CROHME/LG/CROHME2019_train/104_em_45.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_45.lg
90,train,/train/CROHME/IMG_rendering/104_em_47.png,/train/CROHME/LG/CROHME2019_train/104_em_47.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_47.lg
91,train,/train/CROHME/IMG_rendering/104_em_48.png,/train/CROHME/LG/CROHME2019_train/104_em_48.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_48.lg
92,train,/train/CROHME/IMG_rendering/104_em_49.png,/train/CROHME/LG/CROHME2019_train/104_em_49.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_49.lg
93,train,/train/CROHME/IMG_rendering/104_em_50.png,/train/CROHME/LG/CROHME2019_train/104_em_50.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_50.lg
94,train,/train/CROHME/IMG_rendering/104_em_51.png,/train/CROHME/LG/CROHME2019_train/104_em_51.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_51.lg
95,train,/train/CROHME/IMG_rendering/104_em_52.png,/train/CROHME/LG/CROHME2019_train/104_em_52.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_52.lg
96,train,/train/CROHME/IMG_rendering/104_em_53.png,/train/CROHME/LG/CROHME2019_train/104_em_53.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_53.lg
97,train,/train/CROHME/IMG_rendering/104_em_54.png,/train/CROHME/LG/CROHME2019_train/104_em_54.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_54.lg
98,train,/train/CROHME/IMG_rendering/104_em_55.png,/train/CROHME/LG/CROHME2019_train/104_em_55.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_55.lg
99,train,/train/CROHME/IMG_rendering/104_em_56.png,/train/CROHME/LG/CROHME2019_train/104_em_56.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_56.lg
100,train,/train/CROHME/IMG_rendering/104_em_57.png,/train/CROHME/LG/CROHME2019_train/104_em_57.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_57.lg
101,train,/train/CROHME/IMG_rendering/104_em_58.png,/train/CROHME/LG/CROHME2019_train/104_em_58.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_58.lg
102,train,/train/CROHME/IMG_rendering/104_em_59.png,/train/CROHME/LG/CROHME2019_train/104_em_59.lg,/train/CROHME/SymLG/CROHME2019_train/104_em_59.lg
103,train,/train/CROHME/IMG_rendering/105_Fabricio.png,/train/CROHME/LG/CROHME2019_train/105_Fabricio.lg,/train/CROHME/SymLG/CROHME2019_train/105_Fabricio.lg
104,train,/train/CROHME/IMG_rendering/105_Frank.png,/train/CROHME/LG/CROHME2019_train/105_Frank.lg,/train/CROHME/SymLG/CROHME2019_train/105_Frank.lg
105,train,/train/CROHME/IMG_rendering/105_Nina.png,/train/CROHME/LG/CROHME2019_train/105_Nina.lg,/train/CROHME/SymLG/CROHME2019_train/105_Nina.lg
106,train,/train/CROHME/IMG_rendering/105_alfonso.png,/train/CROHME/LG/CROHME2019_train/105_alfonso.lg,/train/CROHME/SymLG/CROHME2019_train/105_alfonso.lg
107,train,/train/CROHME/IMG_rendering/105_carlos.png,/train/CROHME/LG/CROHME2019_train/105_carlos.lg,/train/CROHME/SymLG/CROHME2019_train/105_carlos.lg
108,train,/train/CROHME/IMG_rendering/105_caue.png,/train/CROHME/LG/CROHME2019_train/105_caue.lg,/train/CROHME/SymLG/CROHME2019_train/105_caue.lg
109,train,/train/CROHME/IMG_rendering/105_danilo.png,/train/CROHME/LG/CROHME2019_train/105_danilo.lg,/train/CROHME/SymLG/CROHME2019_train/105_danilo.lg
110,train,/train/CROHME/IMG_rendering/105_david.png,/train/CROHME/LG/CROHME2019_train/105_david.lg,/train/CROHME/SymLG/CROHME2019_train/105_david.lg
111,train,/train/CROHME/IMG_rendering/105_edwin.png,/train/CROHME/LG/CROHME2019_train/105_edwin.lg,/train/CROHME/SymLG/CROHME2019_train/105_edwin.lg
112,train,/train/CROHME/IMG_rendering/105_em_60.png,/train/CROHME/LG/CROHME2019_train/105_em_60.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_60.lg
113,train,/train/CROHME/IMG_rendering/105_em_61.png,/train/CROHME/LG/CROHME2019_train/105_em_61.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_61.lg
114,train,/train/CROHME/IMG_rendering/105_em_62.png,/train/CROHME/LG/CROHME2019_train/105_em_62.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_62.lg
115,train,/train/CROHME/IMG_rendering/105_em_63.png,/train/CROHME/LG/CROHME2019_train/105_em_63.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_63.lg
116,train,/train/CROHME/IMG_rendering/105_em_64.png,/train/CROHME/LG/CROHME2019_train/105_em_64.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_64.lg
117,train,/train/CROHME/IMG_rendering/105_em_65.png,/train/CROHME/LG/CROHME2019_train/105_em_65.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_65.lg
118,train,/train/CROHME/IMG_rendering/105_em_66.png,/train/CROHME/LG/CROHME2019_train/105_em_66.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_66.lg
119,train,/train/CROHME/IMG_rendering/105_em_68.png,/train/CROHME/LG/CROHME2019_train/105_em_68.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_68.lg
120,train,/train/CROHME/IMG_rendering/105_em_69.png,/train/CROHME/LG/CROHME2019_train/105_em_69.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_69.lg
121,train,/train/CROHME/IMG_rendering/105_em_70.png,/train/CROHME/LG/CROHME2019_train/105_em_70.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_70.lg
122,train,/train/CROHME/IMG_rendering/105_em_71.png,/train/CROHME/LG/CROHME2019_train/105_em_71.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_71.lg
123,train,/train/CROHME/IMG_rendering/105_em_72.png,/train/CROHME/LG/CROHME2019_train/105_em_72.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_72.lg
124,train,/train/CROHME/IMG_rendering/105_em_74.png,/train/CROHME/LG/CROHME2019_train/105_em_74.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_74.lg
125,train,/train/CROHME/IMG_rendering/105_em_75.png,/train/CROHME/LG/CROHME2019_train/105_em_75.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_75.lg
126,train,/train/CROHME/IMG_rendering/105_em_76.png,/train/CROHME/LG/CROHME2019_train/105_em_76.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_76.lg
127,train,/train/CROHME/IMG_rendering/105_em_77.png,/train/CROHME/LG/CROHME2019_train/105_em_77.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_77.lg
128,train,/train/CROHME/IMG_rendering/105_em_78.png,/train/CROHME/LG/CROHME2019_train/105_em_78.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_78.lg
129,train,/train/CROHME/IMG_rendering/105_em_79.png,/train/CROHME/LG/CROHME2019_train/105_em_79.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_79.lg
130,train,/train/CROHME/IMG_rendering/105_em_80.png,/train/CROHME/LG/CROHME2019_train/105_em_80.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_80.lg
131,train,/train/CROHME/IMG_rendering/105_em_81.png,/train/CROHME/LG/CROHME2019_train/105_em_81.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_81.lg
132,train,/train/CROHME/IMG_rendering/105_em_82.png,/train/CROHME/LG/CROHME2019_train/105_em_82.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_82.lg
133,train,/train/CROHME/IMG_rendering/105_em_83.png,/train/CROHME/LG/CROHME2019_train/105_em_83.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_83.lg
134,train,/train/CROHME/IMG_rendering/105_em_84.png,/train/CROHME/LG/CROHME2019_train/105_em_84.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_84.lg
135,train,/train/CROHME/IMG_rendering/105_em_85.png,/train/CROHME/LG/CROHME2019_train/105_em_85.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_85.lg
136,train,/train/CROHME/IMG_rendering/105_em_86.png,/train/CROHME/LG/CROHME2019_train/105_em_86.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_86.lg
137,train,/train/CROHME/IMG_rendering/105_em_87.png,/train/CROHME/LG/CROHME2019_train/105_em_87.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_87.lg
138,train,/train/CROHME/IMG_rendering/105_em_88.png,/train/CROHME/LG/CROHME2019_train/105_em_88.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_88.lg
139,train,/train/CROHME/IMG_rendering/105_em_89.png,/train/CROHME/LG/CROHME2019_train/105_em_89.lg,/train/CROHME/SymLG/CROHME2019_train/105_em_89.lg
140,train,/train/CROHME/IMG_rendering/105_fujita.png,/train/CROHME/LG/CROHME2019_train/105_fujita.lg,/train/CROHME/SymLG/CROHME2019_train/105_fujita.lg
141,train,/train/CROHME/IMG_rendering/105_herbert.png,/train/CROHME/LG/CROHME2019_train/105_herbert.lg,/train/CROHME/SymLG/CROHME2019_train/105_herbert.lg
142,train,/train/CROHME/IMG_rendering/105_hirata.png,/train/CROHME/LG/CROHME2019_train/105_hirata.lg,/train/CROHME/SymLG/CROHME2019_train/105_hirata.lg
143,train,/train/CROHME/IMG_rendering/105_leissi.png,/train/CROHME/LG/CROHME2019_train/105_leissi.lg,/train/CROHME/SymLG/CROHME2019_train/105_leissi.lg
144,train,/train/CROHME/IMG_rendering/105_leo.png,/train/CROHME/LG/CROHME2019_train/105_leo.lg,/train/CROHME/SymLG/CROHME2019_train/105_leo.lg
145,train,/train/CROHME/IMG_rendering/105_lucelia.png,/train/CROHME/LG/CROHME2019_train/105_lucelia.lg,/train/CROHME/SymLG/CROHME2019_train/105_lucelia.lg
146,train,/train/CROHME/IMG_rendering/105_miguel.png,/train/CROHME/LG/CROHME2019_train/105_miguel.lg,/train/CROHME/SymLG/CROHME2019_train/105_miguel.lg
147,train,/train/CROHME/IMG_rendering/105_mijail.png,/train/CROHME/LG/CROHME2019_train/105_mijail.lg,/train/CROHME/SymLG/CROHME2019_train/105_mijail.lg
148,train,/train/CROHME/IMG_rendering/105_rosario.png,/train/CROHME/LG/CROHME2019_train/105_rosario.lg,/train/CROHME/SymLG/CROHME2019_train/105_rosario.lg
149,train,/train/CROHME/IMG_rendering/105_user0.png,/train/CROHME/LG/CROHME2019_train/105_user0.lg,/train/CROHME/SymLG/CROHME2019_train/105_user0.lg
150,train,/train/CROHME/IMG_rendering/106_Fabricio.png,/train/CROHME/LG/CROHME2019_train/106_Fabricio.lg,/train/CROHME/SymLG/CROHME2019_train/106_Fabricio.lg
151,train,/train/CROHME/IMG_rendering/106_Frank.png,/train/CROHME/LG/CROHME2019_train/106_Frank.lg,/train/CROHME/SymLG/CROHME2019_train/106_Frank.lg
152,train,/train/CROHME/IMG_rendering/106_Nina.png,/train/CROHME/LG/CROHME2019_train/106_Nina.lg,/train/CROHME/SymLG/CROHME2019_train/106_Nina.lg
153,train,/train/CROHME/IMG_rendering/106_alfonso.png,/train/CROHME/LG/CROHME2019_train/106_alfonso.lg,/train/CROHME/SymLG/CROHME2019_train/106_alfonso.lg
154,train,/train/CROHME/IMG_rendering/106_carlos.png,/train/CROHME/LG/CROHME2019_train/106_carlos.lg,/train/CROHME/SymLG/CROHME2019_train/106_carlos.lg
155,train,/train/CROHME/IMG_rendering/106_caue.png,/train/CROHME/LG/CROHME2019_train/106_caue.lg,/train/CROHME/SymLG/CROHME2019_train/106_caue.lg
156,train,/train/CROHME/IMG_rendering/106_daniel.png,/train/CROHME/LG/CROHME2019_train/106_daniel.lg,/train/CROHME/SymLG/CROHME2019_train/106_daniel.lg
157,train,/train/CROHME/IMG_rendering/106_david.png,/train/CROHME/LG/CROHME2019_train/106_david.lg,/train/CROHME/SymLG/CROHME2019_train/106_david.lg
